更新日期,更新時間,中國內地,報告/確診個案數目,死亡個案,備註,過去14天新增報告確診個案數目
06/10/2021,11:00,湖南省,1189,4,,8
06/10/2021,11:00,四川省,1209,3,,2
06/10/2021,11:00,甘肅省,199,2,,0
06/10/2021,11:00,黑龍江省,1711,13,,90
06/10/2021,11:00,江西省,937,1,,0
06/10/2021,11:00,廣東省,3191,8,,44
06/10/2021,11:00,貴州省,147,2,,0
06/10/2021,11:00,上海巿,2632,7,,59
06/10/2021,11:00,山東省,942,7,,12
06/10/2021,11:00,廣西壯族自治區,301,2,,4
06/10/2021,11:00,雲南省,1472,2,,128
06/10/2021,11:00,內蒙古自治區,420,1,,4
06/10/2021,11:00,浙江省,1450,1,,4
06/10/2021,11:00,河南省,1542,22,,3
06/10/2021,11:00,河北省,1318,7,,1
06/10/2021,11:00,海南省,190,6,,0
06/10/2021,11:00,吉林省,577,3,,3
06/10/2021,11:00,山西省,260,0,,0
06/10/2021,11:00,寧夏回族自治區,77,0,,0
06/10/2021,11:00,江蘇省,1600,0,,5
06/10/2021,11:00,新疆自治區,972,3,,1
06/10/2021,11:00,青海省,18,0,,0
06/10/2021,11:00,西藏自治區,9,0,,0
06/10/2021,11:00,新疆生產建設兵團,1,0,,0
07/10/2021,11:00,湖北省,68299,4512,,2
07/10/2021,11:00,北京巿,1126,9,,7
07/10/2021,11:00,遼寧省,457,2,,6
07/10/2021,11:00,安徽省,1008,6,,0
07/10/2021,11:00,重慶巿,603,6,,0
07/10/2021,11:00,陝西省,675,3,,4
07/10/2021,11:00,天津巿,490,3,,6
07/10/2021,11:00,福建省,1290,1,,42
07/10/2021,11:00,湖南省,1189,4,,8
07/10/2021,11:00,四川省,1211,3,,4
07/10/2021,11:00,甘肅省,199,2,,0
07/10/2021,11:00,黑龍江省,1711,13,,82
07/10/2021,11:00,江西省,937,1,,0
07/10/2021,11:00,廣東省,3191,8,,42
07/10/2021,11:00,貴州省,147,2,,0
07/10/2021,11:00,上海巿,2636,7,,61
07/10/2021,11:00,山東省,945,7,,15
07/10/2021,11:00,廣西壯族自治區,301,2,,4
07/10/2021,11:00,雲南省,1485,2,,136
07/10/2021,11:00,內蒙古自治區,420,1,,4
07/10/2021,11:00,浙江省,1451,1,,5
07/10/2021,11:00,河南省,1542,22,,3
07/10/2021,11:00,河北省,1318,7,,1
07/10/2021,11:00,海南省,190,6,,0
07/10/2021,11:00,吉林省,577,3,,3
07/10/2021,11:00,山西省,260,0,,0
07/10/2021,11:00,寧夏回族自治區,77,0,,0
07/10/2021,11:00,江蘇省,1600,0,,5
07/10/2021,11:00,新疆自治區,972,3,,1
07/10/2021,11:00,青海省,18,0,,0
07/10/2021,11:00,西藏自治區,9,0,,0
07/10/2021,11:00,新疆生產建設兵團,1,0,,0
08/10/2021,11:00,湖北省,68299,4512,,2
08/10/2021,11:00,北京巿,1126,9,,7
08/10/2021,11:00,遼寧省,457,2,,6
08/10/2021,11:00,安徽省,1008,6,,0
08/10/2021,11:00,重慶巿,603,6,,0
08/10/2021,11:00,陝西省,675,3,,4
08/10/2021,11:00,天津巿,492,3,,8
08/10/2021,11:00,福建省,1290,1,,26
08/10/2021,11:00,湖南省,1189,4,,8
08/10/2021,11:00,四川省,1212,3,,5
08/10/2021,11:00,甘肅省,199,2,,0
08/10/2021,11:00,黑龍江省,1711,13,,67
08/10/2021,11:00,江西省,937,1,,0
08/10/2021,11:00,廣東省,3193,8,,43
08/10/2021,11:00,貴州省,147,2,,0
08/10/2021,11:00,上海巿,2644,7,,60
08/10/2021,11:00,山東省,947,7,,17
08/10/2021,11:00,廣西壯族自治區,301,2,,4
08/10/2021,11:00,雲南省,1491,2,,129
08/10/2021,11:00,內蒙古自治區,420,1,,4
08/10/2021,11:00,浙江省,1451,1,,5
08/10/2021,11:00,河南省,1543,22,,4
08/10/2021,11:00,河北省,1318,7,,1
08/10/2021,11:00,海南省,190,6,,0
08/10/2021,11:00,吉林省,577,3,,3
08/10/2021,11:00,山西省,260,0,,0
08/10/2021,11:00,寧夏回族自治區,77,0,,0
08/10/2021,11:00,江蘇省,1600,0,,5
08/10/2021,11:00,新疆自治區,972,3,,1
08/10/2021,11:00,青海省,18,0,,0
08/10/2021,11:00,西藏自治區,9,0,,0
08/10/2021,11:00,新疆生產建設兵團,1,0,,0
09/10/2021,11:00,湖北省,68299,4512,,1
09/10/2021,11:00,北京巿,1126,9,,6
09/10/2021,11:00,遼寧省,459,2,,7
09/10/2021,11:00,安徽省,1008,6,,0
09/10/2021,11:00,重慶巿,603,6,,0
09/10/2021,11:00,陝西省,676,3,,5
09/10/2021,11:00,天津巿,494,3,,9
09/10/2021,11:00,福建省,1291,1,,24
09/10/2021,11:00,湖南省,1191,4,,10
09/10/2021,11:00,四川省,1212,3,,5
09/10/2021,11:00,甘肅省,199,2,,0
09/10/2021,11:00,黑龍江省,1711,13,,59
09/10/2021,11:00,江西省,937,1,,0
09/10/2021,11:00,廣東省,3193,8,,34
09/10/2021,11:00,貴州省,147,2,,0
09/10/2021,11:00,上海巿,2646,7,,56
09/10/2021,11:00,山東省,948,7,,18
09/10/2021,11:00,廣西壯族自治區,304,2,,6
09/10/2021,11:00,雲南省,1494,2,,125
09/10/2021,11:00,內蒙古自治區,420,1,,4
09/10/2021,11:00,浙江省,1451,1,,5
09/10/2021,11:00,河南省,1543,22,,4
09/10/2021,11:00,河北省,1318,7,,1
09/10/2021,11:00,海南省,190,6,,0
09/10/2021,11:00,吉林省,577,3,,3
09/10/2021,11:00,山西省,260,0,,0
09/10/2021,11:00,寧夏回族自治區,77,0,,0
09/10/2021,11:00,江蘇省,1600,0,,5
09/10/2021,11:00,新疆自治區,972,3,,1
09/10/2021,11:00,青海省,18,0,,0
09/10/2021,11:00,西藏自治區,9,0,,0
09/10/2021,11:00,新疆生產建設兵團,1,0,,0
10/10/2021,11:00,湖北省,68299,4512,,1
10/10/2021,11:00,北京巿,1126,9,,6
10/10/2021,11:00,遼寧省,460,2,,8
10/10/2021,11:00,安徽省,1008,6,,0
10/10/2021,11:00,重慶巿,603,6,,0
10/10/2021,11:00,陝西省,676,3,,5
10/10/2021,11:00,天津巿,494,3,,9
10/10/2021,11:00,福建省,1292,1,,20
10/10/2021,11:00,湖南省,1191,4,,10
10/10/2021,11:00,四川省,1213,3,,6
10/10/2021,11:00,甘肅省,199,2,,0
10/10/2021,11:00,黑龍江省,1711,13,,55
10/10/2021,11:00,江西省,937,1,,0
10/10/2021,11:00,廣東省,3193,8,,30
10/10/2021,11:00,貴州省,147,2,,0
10/10/2021,11:00,上海巿,2652,7,,60
10/10/2021,11:00,山東省,950,7,,19
10/10/2021,11:00,廣西壯族自治區,305,2,,7
10/10/2021,11:00,雲南省,1504,2,,125
10/10/2021,11:00,內蒙古自治區,420,1,,2
10/10/2021,11:00,浙江省,1452,1,,6
10/10/2021,11:00,河南省,1544,22,,4
10/10/2021,11:00,河北省,1318,7,,1
10/10/2021,11:00,海南省,190,6,,0
10/10/2021,11:00,吉林省,577,3,,3
10/10/2021,11:00,山西省,260,0,,0
10/10/2021,11:00,寧夏回族自治區,77,0,,0
10/10/2021,11:00,江蘇省,1600,0,,5
10/10/2021,11:00,新疆自治區,972,3,,1
10/10/2021,11:00,青海省,18,0,,0
10/10/2021,11:00,西藏自治區,9,0,,0
10/10/2021,11:00,新疆生產建設兵團,1,0,,0
11/10/2021,11:00,湖北省,68299,4512,,1
11/10/2021,11:00,北京巿,1126,9,,3
11/10/2021,11:00,遼寧省,460,2,,7
11/10/2021,11:00,安徽省,1008,6,,0
11/10/2021,11:00,重慶巿,603,6,,0
11/10/2021,11:00,陝西省,676,3,,5
11/10/2021,11:00,天津巿,494,3,,8
11/10/2021,11:00,福建省,1292,1,,18
11/10/2021,11:00,湖南省,1191,4,,10
11/10/2021,11:00,四川省,1213,3,,6
11/10/2021,11:00,甘肅省,199,2,,0
11/10/2021,11:00,黑龍江省,1711,13,,44
11/10/2021,11:00,江西省,937,1,,0
11/10/2021,11:00,廣東省,3195,8,,31
11/10/2021,11:00,貴州省,147,2,,0
11/10/2021,11:00,上海巿,2655,7,,62
11/10/2021,11:00,山東省,954,7,,22
11/10/2021,11:00,廣西壯族自治區,306,2,,8
11/10/2021,11:00,雲南省,1518,2,,127
11/10/2021,11:00,內蒙古自治區,421,1,,3
11/10/2021,11:00,浙江省,1452,1,,5
11/10/2021,11:00,河南省,1544,22,,4
11/10/2021,11:00,河北省,1318,7,,1
11/10/2021,11:00,海南省,190,6,,0
11/10/2021,11:00,吉林省,577,3,,3
11/10/2021,11:00,山西省,260,0,,0
11/10/2021,11:00,寧夏回族自治區,77,0,,0
11/10/2021,11:00,江蘇省,1600,0,,4
11/10/2021,11:00,新疆自治區,972,3,,1
11/10/2021,11:00,青海省,18,0,,0
11/10/2021,11:00,西藏自治區,9,0,,0
11/10/2021,11:00,新疆生產建設兵團,1,0,,0
12/10/2021,11:00,湖北省,68299,4512,,1
12/10/2021,11:00,北京巿,1126,9,,3
12/10/2021,11:00,遼寧省,461,2,,8
12/10/2021,11:00,安徽省,1008,6,,0
12/10/2021,11:00,重慶巿,603,6,,0
12/10/2021,11:00,陝西省,677,3,,6
12/10/2021,11:00,天津巿,494,3,,7
12/10/2021,11:00,福建省,1293,1,,17
12/10/2021,11:00,湖南省,1191,4,,9
12/10/2021,11:00,四川省,1214,3,,7
12/10/2021,11:00,甘肅省,199,2,,0
12/10/2021,11:00,黑龍江省,1711,13,,33
12/10/2021,11:00,江西省,937,1,,0
12/10/2021,11:00,廣東省,3195,8,,28
12/10/2021,11:00,貴州省,147,2,,0
12/10/2021,11:00,上海巿,2658,7,,65
12/10/2021,11:00,山東省,954,7,,22
12/10/2021,11:00,廣西壯族自治區,306,2,,8
12/10/2021,11:00,雲南省,1523,2,,121
12/10/2021,11:00,內蒙古自治區,421,1,,3
12/10/2021,11:00,浙江省,1452,1,,5
12/10/2021,11:00,河南省,1544,22,,4
12/10/2021,11:00,河北省,1318,7,,1
12/10/2021,11:00,海南省,190,6,,0
12/10/2021,11:00,吉林省,577,3,,3
12/10/2021,11:00,山西省,260,0,,0
12/10/2021,11:00,寧夏回族自治區,77,0,,0
12/10/2021,11:00,江蘇省,1600,0,,2
12/10/2021,11:00,新疆自治區,972,3,,1
12/10/2021,11:00,青海省,18,0,,0
12/10/2021,11:00,西藏自治區,9,0,,0
12/10/2021,11:00,新疆生產建設兵團,1,0,,0
13/10/2021,11:00,湖北省,68299,4512,,1
13/10/2021,11:00,北京巿,1127,9,,4
13/10/2021,11:00,遼寧省,461,2,,8
13/10/2021,11:00,安徽省,1008,6,,0
13/10/2021,11:00,重慶巿,603,6,,0
13/10/2021,11:00,陝西省,677,3,,6
13/10/2021,11:00,天津巿,495,3,,8
13/10/2021,11:00,福建省,1294,1,,13
13/10/2021,11:00,湖南省,1191,4,,9
13/10/2021,11:00,四川省,1214,3,,7
13/10/2021,11:00,甘肅省,199,2,,0
13/10/2021,11:00,黑龍江省,1711,13,,25
13/10/2021,11:00,江西省,937,1,,0
13/10/2021,11:00,廣東省,3197,8,,29
13/10/2021,11:00,貴州省,147,2,,0
13/10/2021,11:00,上海巿,2660,7,,65
13/10/2021,11:00,山東省,955,7,,23
13/10/2021,11:00,廣西壯族自治區,314,2,,16
13/10/2021,11:00,雲南省,1528,2,,118
13/10/2021,11:00,內蒙古自治區,421,1,,3
13/10/2021,11:00,浙江省,1453,1,,6
13/10/2021,11:00,河南省,1544,22,,4
13/10/2021,11:00,河北省,1318,7,,1
13/10/2021,11:00,海南省,190,6,,0
13/10/2021,11:00,吉林省,577,3,,3
13/10/2021,11:00,山西省,260,0,,0
13/10/2021,11:00,寧夏回族自治區,77,0,,0
13/10/2021,11:00,江蘇省,1600,0,,1
13/10/2021,11:00,新疆自治區,972,3,,1
13/10/2021,11:00,青海省,18,0,,0
13/10/2021,11:00,西藏自治區,9,0,,0
13/10/2021,11:00,新疆生產建設兵團,1,0,,0
14/10/2021,11:00,湖北省,68300,4512,,2
14/10/2021,11:00,北京巿,1127,9,,4
14/10/2021,11:00,遼寧省,462,2,,7
14/10/2021,11:00,安徽省,1008,6,,0
14/10/2021,11:00,重慶巿,603,6,,0
14/10/2021,11:00,陝西省,677,3,,6
14/10/2021,11:00,天津巿,498,3,,11
14/10/2021,11:00,福建省,1294,1,,12
14/10/2021,11:00,湖南省,1191,4,,9
14/10/2021,11:00,四川省,1214,3,,7
14/10/2021,11:00,甘肅省,199,2,,0
14/10/2021,11:00,黑龍江省,1711,13,,19
14/10/2021,11:00,江西省,937,1,,0
14/10/2021,11:00,廣東省,3199,8,,28
14/10/2021,11:00,貴州省,147,2,,0
14/10/2021,11:00,上海巿,2661,7,,63
14/10/2021,11:00,山東省,957,7,,24
14/10/2021,11:00,廣西壯族自治區,316,2,,18
14/10/2021,11:00,雲南省,1534,2,,119
14/10/2021,11:00,內蒙古自治區,422,1,,4
14/10/2021,11:00,浙江省,1454,1,,6
14/10/2021,11:00,河南省,1545,22,,5
14/10/2021,11:00,河北省,1318,7,,1
14/10/2021,11:00,海南省,190,6,,0
14/10/2021,11:00,吉林省,577,3,,3
14/10/2021,11:00,山西省,260,0,,0
14/10/2021,11:00,寧夏回族自治區,77,0,,0
14/10/2021,11:00,江蘇省,1600,0,,1
14/10/2021,11:00,新疆自治區,972,3,,1
14/10/2021,11:00,青海省,18,0,,0
14/10/2021,11:00,西藏自治區,9,0,,0
14/10/2021,11:00,新疆生產建設兵團,1,0,,0
15/10/2021,11:00,湖北省,68300,4512,,2
15/10/2021,11:00,北京巿,1127,9,,3
15/10/2021,11:00,遼寧省,462,2,,7
15/10/2021,11:00,安徽省,1008,6,,0
15/10/2021,11:00,重慶巿,603,6,,0
15/10/2021,11:00,陝西省,678,3,,7
15/10/2021,11:00,天津巿,500,3,,13
15/10/2021,11:00,福建省,1294,1,,12
15/10/2021,11:00,湖南省,1191,4,,8
15/10/2021,11:00,四川省,1214,3,,6
15/10/2021,11:00,甘肅省,199,2,,0
15/10/2021,11:00,黑龍江省,1711,13,,9
15/10/2021,11:00,江西省,937,1,,0
15/10/2021,11:00,廣東省,3199,8,,22
15/10/2021,11:00,貴州省,147,2,,0
15/10/2021,11:00,上海巿,2662,7,,59
15/10/2021,11:00,山東省,957,7,,24
15/10/2021,11:00,廣西壯族自治區,317,2,,19
15/10/2021,11:00,雲南省,1537,2,,113
15/10/2021,11:00,內蒙古自治區,422,1,,3
15/10/2021,11:00,浙江省,1454,1,,6
15/10/2021,11:00,河南省,1547,22,,7
15/10/2021,11:00,河北省,1318,7,,1
15/10/2021,11:00,海南省,190,6,,0
15/10/2021,11:00,吉林省,577,3,,3
15/10/2021,11:00,山西省,260,0,,0
15/10/2021,11:00,寧夏回族自治區,77,0,,0
15/10/2021,11:00,江蘇省,1600,0,,1
15/10/2021,11:00,新疆自治區,972,3,,1
15/10/2021,11:00,青海省,18,0,,0
15/10/2021,11:00,西藏自治區,9,0,,0
15/10/2021,11:00,新疆生產建設兵團,1,0,,0
16/10/2021,11:00,湖北省,68303,4512,,5
16/10/2021,11:00,北京巿,1127,9,,3
16/10/2021,11:00,遼寧省,462,2,,6
16/10/2021,11:00,安徽省,1008,6,,0
16/10/2021,11:00,重慶巿,603,6,,0
16/10/2021,11:00,陝西省,679,3,,7
16/10/2021,11:00,天津巿,500,3,,10
16/10/2021,11:00,福建省,1294,1,,12
16/10/2021,11:00,湖南省,1191,4,,4
16/10/2021,11:00,四川省,1214,3,,5
16/10/2021,11:00,甘肅省,199,2,,0
16/10/2021,11:00,黑龍江省,1711,13,,7
16/10/2021,11:00,江西省,937,1,,0
16/10/2021,11:00,廣東省,3199,8,,19
16/10/2021,11:00,貴州省,147,2,,0
16/10/2021,11:00,上海巿,2666,7,,54
16/10/2021,11:00,山東省,957,7,,24
16/10/2021,11:00,廣西壯族自治區,317,2,,19
16/10/2021,11:00,雲南省,1538,2,,100
16/10/2021,11:00,內蒙古自治區,422,1,,3
16/10/2021,11:00,浙江省,1456,1,,7
16/10/2021,11:00,河南省,1550,22,,8
16/10/2021,11:00,河北省,1318,7,,1
16/10/2021,11:00,海南省,190,6,,0
16/10/2021,11:00,吉林省,577,3,,3
16/10/2021,11:00,山西省,260,0,,0
16/10/2021,11:00,寧夏回族自治區,77,0,,0
16/10/2021,11:00,江蘇省,1600,0,,1
16/10/2021,11:00,新疆自治區,972,3,,1
16/10/2021,11:00,青海省,18,0,,0
16/10/2021,11:00,西藏自治區,9,0,,0
16/10/2021,11:00,新疆生產建設兵團,1,0,,0
17/10/2021,11:00,湖北省,68303,4512,,5
17/10/2021,11:00,北京巿,1128,9,,4
17/10/2021,11:00,遼寧省,463,2,,6
17/10/2021,11:00,安徽省,1008,6,,0
17/10/2021,11:00,重慶巿,603,6,,0
17/10/2021,11:00,陝西省,680,3,,8
17/10/2021,11:00,天津巿,500,3,,10
17/10/2021,11:00,福建省,1294,1,,7
17/10/2021,11:00,湖南省,1191,4,,4
17/10/2021,11:00,四川省,1218,3,,9
17/10/2021,11:00,甘肅省,199,2,,0
17/10/2021,11:00,黑龍江省,1712,13,,7
17/10/2021,11:00,江西省,937,1,,0
17/10/2021,11:00,廣東省,3199,8,,16
17/10/2021,11:00,貴州省,147,2,,0
17/10/2021,11:00,上海巿,2671,7,,52
17/10/2021,11:00,山東省,957,7,,23
17/10/2021,11:00,廣西壯族自治區,320,2,,22
17/10/2021,11:00,雲南省,1540,2,,93
17/10/2021,11:00,內蒙古自治區,423,1,,4
17/10/2021,11:00,浙江省,1457,1,,8
17/10/2021,11:00,河南省,1550,22,,8
17/10/2021,11:00,河北省,1318,7,,1
17/10/2021,11:00,海南省,190,6,,0
17/10/2021,11:00,吉林省,577,3,,2
17/10/2021,11:00,山西省,260,0,,0
17/10/2021,11:00,寧夏回族自治區,77,0,,0
17/10/2021,11:00,江蘇省,1600,0,,1
17/10/2021,11:00,新疆自治區,972,3,,1
17/10/2021,11:00,青海省,18,0,,0
17/10/2021,11:00,西藏自治區,9,0,,0
17/10/2021,11:00,新疆生產建設兵團,1,0,,0
18/10/2021,11:00,湖北省,68303,4512,,5
18/10/2021,11:00,北京巿,1128,9,,3
18/10/2021,11:00,遼寧省,463,2,,6
18/10/2021,11:00,安徽省,1008,6,,0
18/10/2021,11:00,重慶巿,603,6,,0
18/10/2021,11:00,陝西省,683,3,,11
18/10/2021,11:00,天津巿,500,3,,10
18/10/2021,11:00,福建省,1294,1,,7
18/10/2021,11:00,湖南省,1191,4,,2
18/10/2021,11:00,四川省,1220,3,,11
18/10/2021,11:00,甘肅省,199,2,,0
18/10/2021,11:00,黑龍江省,1712,13,,4
18/10/2021,11:00,江西省,937,1,,0
18/10/2021,11:00,廣東省,3201,8,,14
18/10/2021,11:00,貴州省,147,2,,0
18/10/2021,11:00,上海巿,2677,7,,55
18/10/2021,11:00,山東省,962,7,,25
18/10/2021,11:00,廣西壯族自治區,320,2,,21
18/10/2021,11:00,雲南省,1546,2,,92
18/10/2021,11:00,內蒙古自治區,423,1,,3
18/10/2021,11:00,浙江省,1457,1,,7
18/10/2021,11:00,河南省,1550,22,,8
18/10/2021,11:00,河北省,1318,7,,0
18/10/2021,11:00,海南省,190,6,,0
18/10/2021,11:00,吉林省,577,3,,2
18/10/2021,11:00,山西省,260,0,,0
18/10/2021,11:00,寧夏回族自治區,77,0,,0
18/10/2021,11:00,江蘇省,1600,0,,1
18/10/2021,11:00,新疆自治區,972,3,,1
18/10/2021,11:00,青海省,18,0,,0
18/10/2021,11:00,西藏自治區,9,0,,0
18/10/2021,11:00,新疆生產建設兵團,1,0,,0
19/10/2021,11:00,湖北省,68303,4512,,5
19/10/2021,11:00,北京巿,1128,9,,3
19/10/2021,11:00,遼寧省,463,2,,6
19/10/2021,11:00,安徽省,1008,6,,0
19/10/2021,11:00,重慶巿,603,6,,0
19/10/2021,11:00,陝西省,688,3,,13
19/10/2021,11:00,天津巿,500,3,,10
19/10/2021,11:00,福建省,1295,1,,6
19/10/2021,11:00,湖南省,1194,4,,5
19/10/2021,11:00,四川省,1220,3,,11
19/10/2021,11:00,甘肅省,200,2,,1
19/10/2021,11:00,黑龍江省,1712,13,,3
19/10/2021,11:00,江西省,937,1,,0
19/10/2021,11:00,廣東省,3204,8,,13
19/10/2021,11:00,貴州省,147,2,,0
19/10/2021,11:00,上海巿,2682,7,,54
19/10/2021,11:00,山東省,962,7,,21
19/10/2021,11:00,廣西壯族自治區,320,2,,21
19/10/2021,11:00,雲南省,1550,2,,91
19/10/2021,11:00,內蒙古自治區,425,1,,5
19/10/2021,11:00,浙江省,1457,1,,7
19/10/2021,11:00,河南省,1550,22,,8
19/10/2021,11:00,河北省,1318,7,,0
19/10/2021,11:00,海南省,190,6,,0
19/10/2021,11:00,吉林省,577,3,,1
19/10/2021,11:00,山西省,260,0,,0
19/10/2021,11:00,寧夏回族自治區,78,0,,1
19/10/2021,11:00,江蘇省,1600,0,,1
19/10/2021,11:00,新疆自治區,972,3,,1
19/10/2021,11:00,青海省,18,0,,0
19/10/2021,11:00,西藏自治區,9,0,,0
19/10/2021,11:00,新疆生產建設兵團,1,0,,0
20/10/2021,11:00,湖北省,68303,4512,,5
20/10/2021,11:00,北京巿,1129,9,,4
20/10/2021,11:00,遼寧省,463,2,,6
20/10/2021,11:00,安徽省,1008,6,,0
20/10/2021,11:00,重慶巿,603,6,,0
20/10/2021,11:00,陝西省,690,3,,15
20/10/2021,11:00,天津巿,500,3,,10
20/10/2021,11:00,福建省,1296,1,,6
20/10/2021,11:00,湖南省,1194,4,,5
20/10/2021,11:00,四川省,1220,3,,11
20/10/2021,11:00,甘肅省,204,2,,5
20/10/2021,11:00,黑龍江省,1712,13,,1
20/10/2021,11:00,江西省,937,1,,0
20/10/2021,11:00,廣東省,3207,8,,16
20/10/2021,11:00,貴州省,148,2,,1
20/10/2021,11:00,上海巿,2689,7,,57
20/10/2021,11:00,山東省,962,7,,20
20/10/2021,11:00,廣西壯族自治區,320,2,,19
20/10/2021,11:00,雲南省,1551,2,,79
20/10/2021,11:00,內蒙古自治區,433,1,,13
20/10/2021,11:00,浙江省,1457,1,,7
20/10/2021,11:00,河南省,1550,22,,8
20/10/2021,11:00,河北省,1318,7,,0
20/10/2021,11:00,海南省,191,6,,1
20/10/2021,11:00,吉林省,577,3,,0
20/10/2021,11:00,山西省,260,0,,0
20/10/2021,11:00,寧夏回族自治區,79,0,,2
20/10/2021,11:00,江蘇省,1600,0,,0
20/10/2021,11:00,新疆自治區,972,3,,0
20/10/2021,11:00,青海省,18,0,,0
20/10/2021,11:00,西藏自治區,9,0,,0
20/10/2021,11:00,新疆生產建設兵團,1,0,,0
21/10/2021,11:00,湖北省,68305,4512,,6
21/10/2021,11:00,北京巿,1129,9,,3
21/10/2021,11:00,遼寧省,463,2,,6
21/10/2021,11:00,安徽省,1008,6,,0
21/10/2021,11:00,重慶巿,603,6,,0
21/10/2021,11:00,陝西省,690,3,,15
21/10/2021,11:00,天津巿,500,3,,10
21/10/2021,11:00,福建省,1296,1,,6
21/10/2021,11:00,湖南省,1194,4,,5
21/10/2021,11:00,四川省,1220,3,,9
21/10/2021,11:00,甘肅省,209,2,,10
21/10/2021,11:00,黑龍江省,1712,13,,1
21/10/2021,11:00,江西省,937,1,,0
21/10/2021,11:00,廣東省,3208,8,,17
21/10/2021,11:00,貴州省,148,2,,1
21/10/2021,11:00,上海巿,2695,7,,59
21/10/2021,11:00,山東省,962,7,,17
21/10/2021,11:00,廣西壯族自治區,320,2,,19
21/10/2021,11:00,雲南省,1551,2,,66
21/10/2021,11:00,內蒙古自治區,435,1,,15
21/10/2021,11:00,浙江省,1457,1,,6
21/10/2021,11:00,河南省,1551,22,,9
21/10/2021,11:00,河北省,1318,7,,0
21/10/2021,11:00,海南省,191,6,,1
21/10/2021,11:00,吉林省,577,3,,0
21/10/2021,11:00,山西省,260,0,,0
21/10/2021,11:00,寧夏回族自治區,83,0,,6
21/10/2021,11:00,江蘇省,1600,0,,0
21/10/2021,11:00,新疆自治區,972,3,,0
21/10/2021,11:00,青海省,18,0,,0
21/10/2021,11:00,西藏自治區,9,0,,0
